Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,31.09,0,0
4.78,30.51,0,0.0
6.88,30.25,0,-0.58
8.38,30.07,0,-0.84
10.08,29.89,0,-1.02
12.55,29.58,0,-1.2
15.62,29.19,0,-1.51
17.95,28.89,0,-1.9
20.87,28.5,0,-2.2
24.43,28.03,0,-2.59
28.24,27.53,0,-3.06
32.04,27.01,0,-3.56
36.28,26.44,0,-4.08
40.89,25.81,0,-4.65
42.85,25.54,0,-5.28
44.06,25.4,0,-5.55
45.56,25.24,0,-5.69
47.14,25.13,0,-5.85
50.04,24.98,0,-5.96
53.77,24.55,0,-6.11
56.16,24.26,0,-6.54
58.75,23.92,0,-6.83
61.33,23.57,0,-7.17
64.48,23.15,0,-7.52
67.91,22.72,0,-7.94
71.37,22.29,0,-8.37
74.66,21.9,0,-8.8
81.59,21.46,0,-9.19
88.82,20.97,0,-9.63
94.67,20.55,0,-10.12
99.09,20.22,0,-10.54
103.11,19.97,0,-10.87
107.42,19.77,0,-11.12
111.58,19.56,0,-11.32
115.57,19.31,0,-11.53
119.45,19.03,0,-11.78
123.13,18.75,0,-12.06
126.64,18.44,0,-12.34
130.21,18.16,0,-12.65
133.39,17.87,0,-12.93
136.77,17.55,0,-13.22
140.26,17.23,0,-13.54
143.76,16.91,0,-13.86
146.99,16.6,0,-14.18
150.2,16.28,0,-14.49
153.61,15.96,0,-14.81
157.18,15.64,0,-15.13
160.33,15.31,0,-15.45
163.46,15.02,0,-15.78
166.98,14.9,0,-16.07
170.62,14.79,0,-16.19
174.46,14.72,0,-16.3
178.01,14.59,0,-16.37
181.66,14.35,0,-16.5
185.42,14.25,0,-16.74
189.1,14.28,0,-16.84
192.6,14.32,0.03,-16.84
195.99,14.38,0.07,-16.84
199.37,14.45,0.13,-16.84
202.75,14.52,0.2,-16.84
206.08,14.59,0.27,-16.84
209.45,14.67,0.34,-16.84
212.81,14.75,0.42,-16.84
216.11,14.84,0.5,-16.84
219.42,14.93,0.59,-16.84
222.81,15.02,0.68,-16.84
226.04,15.12,0.77,-16.84
229.04,15.21,0.87,-16.84
232.41,15.32,0.96,-16.84
238.38,15.54,1.07,-16.84
243.95,15.71,1.29,-16.84
247.09,15.79,1.46,-16.84
250.23,15.88,1.54,-16.84
253.28,15.97,1.63,-16.84
256.15,16.06,1.72,-16.84
258.86,16.14,1.81,-16.84
261.15,16.21,1.89,-16.84
263.04,16.28,1.96,-16.84
264.81,16.34,2.03,-16.84
268.79,16.48,2.09,-16.84
272.33,16.58,2.23,-16.84
275.71,16.68,2.33,-16.84
278.92,16.76,2.43,-16.84
282.66,16.84,2.51,-16.84
286.6,16.92,2.59,-16.84
288.42,16.96,2.67,-16.84
290.34,16.99,2.71,-16.84
292.43,17.03,2.74,-16.84
294.59,17.07,2.78,-16.84
296.68,17.1,2.82,-16.84
298.77,17.13,2.85,-16.84
300.67,17.16,2.88,-16.84
302.43,17.18,2.91,-16.84
305.6,17.21,2.93,-16.84
308.11,17.23,2.96,-16.84
309.71,17.24,2.98,-16.84
312.31,17.25,2.99,-16.84
315.53,17.27,3.0,-16.84
319.17,17.28,3.02,-16.84
322.91,17.29,3.03,-16.84
326.66,17.29,3.04,-16.84
330.33,17.29,3.04,-16.84
334.1,17.29,3.04,-16.84
338.6,17.32,3.04,-16.84
340.34,17.33,3.07,-16.84
342.12,17.34,3.08,-16.84
343.9,17.36,3.09,-16.84
345.74,17.38,3.11,-16.84
347.63,17.4,3.13,-16.84
349.41,17.42,3.15,-16.84
351.15,17.44,3.17,-16.84
352.96,17.47,3.19,-16.84
354.7,17.5,3.22,-16.84
356.56,17.53,3.25,-16.84
358.32,17.56,3.28,-16.84
360.08,17.59,3.31,-16.84
364.14,17.68,3.34,-16.84
367.63,17.76,3.43,-16.84
371.08,17.84,3.51,-16.84
374.51,17.94,3.59,-16.84
377.89,18.05,3.69,-16.84
381.29,18.15,3.8,-16.84
384.78,18.25,3.9,-16.84
387.52,18.34,4.0,-16.84
389.74,18.41,4.09,-16.84
392.18,18.5,4.16,-16.84
395.23,18.55,4.25,-16.84
398.72,18.6,4.3,-16.84
402.36,18.68,4.35,-16.84
406.15,18.78,4.43,-16.84
409.51,18.87,4.53,-16.84
413.0,18.96,4.62,-16.84
416.9,18.88,4.71,-16.84
420.8,18.69,4.71,-16.92
424.56,18.51,4.71,-17.11
427.86,18.36,4.71,-17.29
430.4,18.29,4.71,-17.44
433.51,18.32,4.71,-17.51
436.76,18.37,4.74,-17.51
439.88,18.38,4.79,-17.51
442.98,18.3,4.8,-17.51
444.69,18.23,4.8,-17.59
446.72,18.15,4.8,-17.66
448.93,18.06,4.8,-17.74
451.29,17.96,4.8,-17.83
453.58,17.87,4.8,-17.93
455.71,17.79,4.8,-18.02
457.77,17.73,4.8,-18.1
459.74,17.66,4.8,-18.16
461.65,17.62,4.8,-18.23
463.64,17.57,4.8,-18.27
465.54,17.52,4.8,-18.32
467.53,17.48,4.8,-18.37
469.51,17.43,4.8,-18.41
471.47,17.4,4.8,-18.46
473.29,17.37,4.8,-18.49
475.18,17.35,4.8,-18.52
477.06,17.33,4.8,-18.54
478.94,17.32,4.8,-18.56
480.69,17.3,4.8,-18.57
482.51,17.28,4.8,-18.59
484.27,17.26,4.8,-18.61
486.06,17.24,4.8,-18.63
487.74,17.22,4.8,-18.65
489.63,17.22,4.8,-18.67
493.53,17.21,4.8,-18.67
496.75,17.15,4.8,-18.68
500.07,17.08,4.8,-18.74
503.46,17.0,4.8,-18.81
506.42,17.02,4.8,-18.89
510.38,17.13,4.82,-18.89
512.52,17.18,4.93,-18.89
514.79,17.23,4.98,-18.89
517.13,17.27,5.03,-18.89
519.49,17.3,5.07,-18.89
521.58,17.3,5.1,-18.89
523.72,17.29,5.1,-18.89
525.85,17.28,5.1,-18.9
527.87,17.27,5.1,-18.91
